date,tmax,tmin,prec,rs,rh,u2_obs,eto
2022-06-23,29.31,20.15,0.0,20.41,84.39,1.0,3.8027731938528975
2022-06-24,29.76,20.53,0.0,20.19,83.86,1.03,3.8409456018352572
2022-06-25,29.71,21.6,0.0,21.55,81.22,1.16,4.162829213631064
2022-06-26,29.28,19.16,0.0,21.63,75.24,0.94,4.200480554144654
2022-06-27,29.58,20.15,0.0,20.44,75.58,0.92,4.110691364266744
2022-06-28,29.77,20.27,0.0,20.95,79.76,0.98,4.06503344939512
2022-06-29,30.1,20.77,0.0,19.58,80.05,0.89,3.921152538671479
2022-06-30,30.14,21.4,0.01,19.62,82.47,0.8,3.8802757319683003
2022-07-01,29.71,21.78,3.84,18.99,84.15,0.75,3.7261008311537203
2022-07-02,30.0,21.43,1.66,16.69,84.99,1.17,3.3774998504500195
2022-07-03,30.06,21.67,0.01,19.94,82.01,1.29,3.9503046855974864
2022-07-04,28.99,19.16,0.0,17.11,76.98,1.16,3.561851356647973
2022-07-05,29.59,19.7,0.0,19.18,76.86,1.09,3.8943462968544793
2022-07-06,29.88,20.7,0.0,19.44,80.01,1.06,3.8918584564876446
2022-07-07,29.8,20.01,0.0,19.78,81.29,1.16,3.8585997658752507
2022-07-08,28.82,21.5,0.0,17.09,81.87,1.23,3.4817956547790185
2022-07-09,30.4,19.41,0.0,21.63,76.08,1.17,4.291903104614409
2022-07-10,30.01,19.2,0.0,21.53,76.48,1.23,4.226617653383187
2022-07-11,30.7,20.76,0.0,20.69,76.11,0.98,4.259804958834038
2022-07-12,31.26,21.07,0.0,19.59,76.15,0.75,4.168367650894652
2022-07-13,30.96,21.85,0.0,18.93,77.68,0.83,4.041518890049371
2022-07-14,30.6,21.52,0.0,17.8,81.1,1.01,3.7276051455278534
2022-07-15,31.01,20.91,0.0,19.23,76.51,1.03,4.087061990449495
2022-07-16,31.45,20.23,0.0,21.7,72.81,0.95,4.547052389521331
2022-07-17,31.78,19.81,0.0,22.12,72.05,0.86,4.637674370664123
2022-07-18,31.48,20.53,0.04,19.47,77.08,0.93,4.125095983968476
2022-07-19,31.57,21.33,0.0,21.45,74.36,1.05,4.53612572767178
2022-07-20,31.49,21.47,3.19,21.21,75.51,0.86,4.46913114666092
2022-07-21,31.12,19.38,2.47,21.15,74.32,0.92,4.371042897814989
2022-07-22,31.31,19.63,0.61,20.56,77.06,0.91,4.231288645269212
2022-07-23,32.04,20.62,0.12,21.1,74.62,0.93,4.49428491154074
2022-07-24,32.16,21.32,0.01,22.28,71.77,0.95,4.796978508123947
2022-07-25,30.9,22.13,0.0,22.27,70.79,0.97,4.764350728140946
2022-07-26,31.54,20.25,0.0,22.17,64.6,0.99,4.905014223248012
2022-07-27,31.86,20.34,0.0,21.91,65.98,0.69,4.864700116027902
2022-07-28,32.53,20.39,1.15,22.58,71.67,0.68,4.840939856251071
2022-07-29,30.99,21.34,0.41,19.94,75.32,0.52,4.279490500733206
2022-07-30,31.29,21.46,0.08,16.75,75.49,0.65,3.858172456993117
2022-07-31,30.57,22.06,3.91,15.27,80.97,0.85,3.427438200686278
2022-08-01,31.0,22.12,1.63,15.53,79.47,1.0,3.5501759363214114
