ID_Modelo,Raio,Num_Regras,R2_Score
256,0.07035756904532882,130,0.726702372639707
257,0.025948122733311624,196,0.771230413878377
258,0.06800066378044589,132,0.726251871144667
259,0.16033381706668232,60,0.5891828626394413
260,0.032952904096490154,188,0.7623220619144777
261,0.18918565094980974,44,0.5857810677281452
262,0.15126164532425607,63,0.5533741906975926
263,0.025204212664205385,196,0.7766865732277374
264,0.012172913811841298,226,0.7740392613813057
265,0.19579845126748385,44,0.5858617559417173
266,0.1027562853359495,93,0.6404561656221206
267,0.19500460370599568,44,0.5858617559417173
268,0.1157325235790139,80,0.6254626757591615
269,0.17132415227237757,52,0.5926096709854437
270,0.1026667701985969,93,0.6404561656221206
271,0.018177624760279898,213,0.7684215057439651
272,0.12483204845604108,76,0.6005727583442244
273,0.0830227831135528,116,0.7155119629617206
274,0.09887885477726212,97,0.6827935899922108
275,0.1585257673473269,60,0.5891828626394413
276,0.07327269004425084,128,0.7275134464908862
277,0.15288232244998687,63,0.5662620226993776
278,0.012949201742779215,226,0.7740392613813057
279,0.14121151039882174,69,0.6073748767459017
280,0.14670226400827838,63,0.5532030056957101
281,0.17304034979495425,51,0.5939943556879222
282,0.15827991793625773,60,0.5891828626394413
283,0.190533277760213,44,0.5858617559417173
284,0.014127852995707253,225,0.7747481063511431
285,0.07727832337448036,124,0.7416638481112668
286,0.1192834356304596,77,0.6242600893804666
287,0.18846810984084833,44,0.5857810677281452
288,0.048724533225118855,160,0.762309096337016
289,0.09358875206935054,103,0.6776318332107703
290,0.020680030227658318,210,0.7690484734821758
291,0.13597901409507201,71,0.613580332955263
292,0.07400666828408166,126,0.7404347482537035
293,0.051296659695355185,159,0.7626405449497117
294,0.09329936242648344,105,0.6873390329333613
295,0.1641747141053681,58,0.5804514606957007
296,0.03994270608215287,179,0.7754459904651286
297,0.14601259811223255,64,0.5519695781677193
298,0.13889841437363934,69,0.6073748767459017
299,0.01563047371596709,218,0.7717329629121119
300,0.1345835942762475,72,0.6089911610180376
301,0.12198486197808951,76,0.6005727583442244
302,0.16150179378046178,60,0.5893867407099698
303,0.09408652486425466,102,0.678427980098556
304,0.10941960586250393,86,0.6191354484682775
305,0.11269426752279045,85,0.6201452160409909
306,0.16030223100882543,60,0.5891828626394413
307,0.02487377098236657,197,0.7764505101883763
