tensao_solo_kpa,chuva_bool,tmax_max_3d_c,dap,classe_irrigacao
168.91129208264047,0,35.2,32,1
159.12056901492375,0,35.2,33,1
150.45281177033374,0,34.5,34,1
142.51540122139602,0,34.4,35,1
134.99842455136272,0,34.7,36,1
120.89919773632998,0,35.4,37,1
114.50104783903703,0,35.5,38,1
108.41583321055397,0,35.5,39,1
102.09591662974137,0,35.5,40,1
96.42406190177505,0,35.2,41,1
91.4220165274559,0,35.2,42,1
86.96041338173123,0,34.4,43,1
82.8458222978491,0,34.4,44,1
78.92232829391425,0,34.8,45,1
75.14284681527009,0,34.8,46,1
71.52440284061232,0,34.8,47,2
68.07935033437009,0,35.2,48,2
64.81601123836839,0,35.2,49,2
64.81601123836839,0,35.4,50,2
64.81601123836839,0,35.4,51,2
64.81601123836839,0,35.4,52,2
64.81601123836839,0,35.4,53,2
64.81601123836839,0,35.4,54,2
64.81601123836839,0,36.1,55,2
64.81601123836839,0,36.1,56,2
64.81601123836839,0,36.1,57,2
64.81601123836839,0,35.7,58,2
64.81601123836839,0,35.1,59,2
64.81601123836839,0,34.8,60,2
64.81601123836839,0,36.1,61,2
64.81601123836839,0,36.1,62,2
64.81601123836839,0,36.1,63,2
64.81601123836839,0,35.9,64,2
64.81601123836839,0,35.9,65,2
64.81601123836839,0,36.3,66,2
64.81601123836839,0,36.3,67,2
64.81601123836839,0,36.3,68,2
64.81601123836839,0,36.2,69,2
64.81601123836839,0,36.2,70,2
64.81601123836839,0,36.2,71,2
64.81601123836839,0,36.0,72,2
64.81601123836839,0,36.0,73,2
64.81601123836839,0,35.7,74,2
64.81601123836839,0,35.2,75,2
64.81601123836839,0,35.3,76,2
64.81601123836839,0,36.0,77,2
64.81601123836839,0,36.0,78,2
64.81601123836839,0,36.1,79,2
64.81601123836839,0,36.1,80,2
64.81601123836839,0,37.1,81,2
64.81601123836839,0,37.1,82,2
64.81601123836839,0,37.1,83,2
64.81601123836839,0,36.5,84,2
64.81601123836839,0,36.5,85,2
64.81601123836839,0,36.6,86,2
64.81601123836839,0,36.9,87,2
64.81601123836839,0,36.9,88,2
64.81601123836839,0,37.3,89,2
64.81601123836839,0,37.3,90,2
64.81601123836839,0,37.3,91,2
64.81601123836839,0,37.0,92,2
64.81601123836839,0,37.0,93,2
64.81601123836839,0,37.3,94,2
64.81601123836839,0,37.3,95,2
64.81601123836839,0,37.3,96,2
64.81601123836839,0,37.3,97,2
64.81601123836839,0,36.9,98,2
64.81601123836839,0,36.9,99,2
64.81601123836839,0,37.8,100,2
64.81601123836839,0,37.8,101,2
64.81601123836839,0,37.8,102,2
64.81601123836839,0,37.8,103,2
851.8185127485895,0,35.0,14,1
717.5448605045663,0,35.0,15,1
659.0925213725499,0,35.0,16,1
563.0796055970953,0,34.8,17,1
525.5498417440715,0,34.8,18,1
490.43447845184556,0,34.8,19,1
425.4802171125433,0,34.7,20,1
396.619007153864,0,34.8,21,1
369.81907077439786,0,34.8,22,1
342.38194447539865,0,34.8,23,1
296.42916869602453,0,34.1,24,1
278.3581187231205,0,34.1,25,1
261.9472293015955,0,34.1,26,1
246.6067781918031,0,34.0,27,1
231.88255822655543,0,35.0,28,1
204.83614768582876,0,35.4,29,1
192.68340060873876,0,35.4,30,1
180.10338159224204,0,35.4,31,1
168.91129208264047,0,34.8,32,1
159.12056901492375,0,34.3,33,1
150.45281177033374,0,34.3,34,1
142.51540122139602,0,33.4,35,1
134.99842455136272,0,33.1,36,1
120.89919773632998,0,33.1,37,1
114.50104783903703,0,34.4,38,1
108.41583321055397,0,34.6,39,1
102.09591662974137,0,34.6,40,1
96.42406190177505,0,34.8,41,1
91.4220165274559,0,34.8,42,1
86.96041338173123,0,34.8,43,1
82.8458222978491,0,34.5,44,1
78.92232829391425,0,35.1,45,1
75.14284681527009,0,35.1,46,1
71.52440284061232,0,35.1,47,1
68.07935033437009,0,35.1,48,1
64.81601123836839,0,34.7,49,1
64.81601123836839,0,34.7,50,1
64.81601123836839,0,34.7,51,1
64.81601123836839,0,34.6,52,1
64.81601123836839,0,34.5,53,1
64.81601123836839,0,34.5,54,1
64.81601123836839,0,34.8,55,1
64.81601123836839,0,34.8,56,1
64.81601123836839,0,34.9,57,2
64.81601123836839,0,36.1,58,2
64.81601123836839,0,36.1,59,2
64.81601123836839,0,36.1,60,2
64.81601123836839,0,35.9,61,2
64.81601123836839,0,36.2,62,2
64.81601123836839,0,36.2,63,2
64.81601123836839,0,36.5,64,2
64.81601123836839,0,36.5,65,2
64.81601123836839,0,36.5,66,2
64.81601123836839,0,35.7,67,2
64.81601123836839,0,35.3,68,2
64.81601123836839,0,36.1,69,2
64.81601123836839,0,36.1,70,2
64.81601123836839,0,36.1,71,2
64.81601123836839,0,36.2,72,2
64.81601123836839,0,36.2,73,2
64.81601123836839,0,36.2,74,2
64.81601123836839,0,35.8,75,2
64.81601123836839,0,35.7,76,1
64.81601123836839,0,35.7,77,2
64.81601123836839,0,35.7,78,2
64.81601123836839,0,36.1,79,1
64.81601123836839,0,37.0,80,2
64.81601123836839,0,37.0,81,2
64.81601123836839,0,37.0,82,2
64.81601123836839,0,36.9,83,2
64.81601123836839,0,36.0,84,2
64.81601123836839,0,34.5,85,1
64.81601123836839,0,35.5,86,1
64.81601123836839,0,35.8,87,1
64.81601123836839,0,36.8,88,2
64.81601123836839,0,36.8,89,2
64.81601123836839,0,36.8,90,2
64.81601123836839,0,36.1,91,2
64.81601123836839,0,36.1,92,2
64.81601123836839,0,36.0,93,1
64.81601123836839,0,36.0,94,1
64.81601123836839,0,36.0,95,1
64.81601123836839,0,35.8,96,1
64.81601123836839,0,35.8,97,1
64.81601123836839,0,34.8,98,1
64.81601123836839,0,35.7,99,1
64.81601123836839,0,35.9,100,1
64.81601123836839,0,36.3,101,1
64.81601123836839,0,36.7,102,1
64.81601123836839,0,36.9,103,1
582.59476210169,0,34.3,14,0
527.5767544549732,0,34.3,15,0
514.5680447897328,0,34.2,16,0
458.62211550493925,0,34.7,17,0
442.66218329522036,0,34.7,18,0
427.2090721018594,0,34.7,19,0
380.7348210137947,0,35.1,20,0
366.7885323474663,0,35.1,21,0
354.83565935122266,0,35.1,22,0
344.92740475334705,0,34.0,23,0
310.7274058413951,0,35.2,24,0
303.0077154299431,0,35.2,25,0
297.2420096456495,0,35.2,26,0
293.70553091525113,1,35.2,27,0
271.95985986381567,0,35.2,28,0
267.52359434019877,0,35.2,29,1
262.82294943318465,0,34.6,30,1
244.66562379872454,0,34.6,31,1
228.96208204196972,0,34.6,32,1
215.6284503780178,0,34.0,33,1
204.1875436684362,0,34.2,34,1
193.77372537764595,0,34.2,35,1
